domain,subject area,fact
arithmetic,integers,fact 1: the sum of two even integers is an even integer
arithmetic,integers,fact 2: the sum of two odd integers is an even integer
arithmetic,integers,fact 3: the sum of an even integer and an odd integer is an odd integer
arithmetic,integers,fact 4: the product of two even integers is an even integer
arithmetic,integers,fact 5: the product of two even integers is an even integer
arithmetic,integers,fact 6: the product of an even integer and an odd integer is an even integer
arithmetic,exponents and roots,"the exponent zero: for all nonzero numbers a, a^0 = 1. The expression 0^0 is undefined"
arithmetic,exponents and roots,"negative exponents: for all nonzero numbers a, a^(-1) = 1/a"
arithmetic,exponents and roots,rule 1: sqrt(a)^2 = a
arithmetic,exponents and roots,rule 2: sqrt(a^2) = a
arithmetic,exponents and roots,rule 3: sqrt(a)*sqrt(b) = sqrt(a*b)
arithmetic,exponents and roots,rule 4: sqrt(a)/sqrt(b) = sqrt(a/b)
