subject area,key,value,example
integers,integer,"numbers 1,2,3,ƒ, together with their negatives, -1,-2,-3,ƒ, and 0","set of integers {...,-3,-2,-1,0,1,2,3,...}"
integers,factor,a divisor that divides the number entirely and leaves no remainder,
integers,divisor,any number that divides another number,
integers,multiple,the result of multiplying a number by an integer,
integers,least common multiple,a number that is a multiple of two or more numbers,
integers,greatest common divisor,,
integers,greatest common factor,,
integers,quotient,,
integers,remainder,,
integers,even integer,integer divisible by 2,
integers,odd integer,integer not divisible by 2,
integers,prime number,an integer greater than 1 that has only two positive divisors: 1 and itself,
integers,prime divisors,factors that are prime numbers,
integers,prime factorization,,
integers,composite number,an integer greater than 1 that is not a prime number,
fractions,fraction,"a number of the form c/2, where c and d are integers and d != 0",
fractions,numerator,,
fractions,denumerator,,
fractions,rational numbers,,
fractions,common denominator,a common multiple of two denominators,
fractions,invert,,
fractions,reciprocal,,
fractions,mixed number,"an expression that consists of an integer part and a fraction part, where the fraction part has a value between 0 and 1",
fractions,fractional expressions,,
exponents and roots,base,,
,exponent,denote the repeatedmultiplication of a number by itself,
,squaring,,
,square root,,
,cube root,,
,fourth root,,
